,price,totsp,livesp,kitsp,dist,metrdist,walk,brick,floor,code
1548,0.29225607135647635,0.18496389803771995,0.44359438379500693,0.050000000000000044,0.8214285714285713,0.5169953326656691,1,1,0,0.2857142857142857
1549,0.3979400086720377,0.36545247034522976,0.38710442465245043,0.4,0.6428571428571428,0.3882976552584404,1,0,1,0.0
1550,0.2304489213782741,0.17418889111848967,0.38710442465245043,0.050000000000000044,0.2857142857142857,0.0,1,0,1,0.5714285714285714
1551,0.16435285578443715,0.07277731762598072,0.19111216610637083,0.10000000000000003,0.9999999999999999,0.3882976552584404,1,0,0,0.42857142857142855
1552,0.38021124171160614,0.41177546717624014,0.4792851273979504,0.2,0.6428571428571428,0.6792566110800579,0,0,1,0.8571428571428572
1553,0.6627578316815741,0.5175559629891884,0.7080120929533082,0.25,0.5357142857142857,0.9025172702761631,1,1,1,0.2857142857142857
1554,0.5314789170422551,0.5429389614129665,0.8207011785096325,0.3500000000000001,0.21428571428571427,0.0,1,1,0,0.7142857142857142
1555,0.5105450102066118,0.4389012459674837,0.6237027080922655,0.2,0.6428571428571428,0.5743810035318209,1,1,1,1.0
1556,0.3222192947339193,0.3369433630413914,0.40635138982437047,0.25,0.9999999999999999,0.5169953326656691,0,0,1,0.14285714285714285
1557,0.22530928172586284,0.15236137361284574,0.347262175557975,0.050000000000000044,0.3214285714285714,0.3882976552584404,0,1,1,1.0
1558,0.40823996531184936,0.42087105801884506,0.5464924489475349,0.25,0.6428571428571428,0.3882976552584404,1,0,1,0.0
1559,0.4313637641589876,0.3841548709741447,0.40635138982437047,0.25,0.5357142857142857,0.3882976552584404,0,0,1,0.8571428571428572
1560,0.5440680443502759,0.3934183977486787,0.44359438379500693,0.25,0.8214285714285713,0.6792566110800579,0,1,1,0.2857142857142857
1561,0.30963016742589855,0.18496389803771995,0.30547564888405,0.15000000000000002,0.3571428571428571,0.3882976552584404,0,1,1,0.0
1562,0.24054924828259971,0.13014743834355036,0.21523922371799964,0.050000000000000044,0.035714285714285726,0.6792566110800579,1,1,1,0.8571428571428572
1563,0.37291200297010696,0.2980288564837086,0.32662373338471484,0.15000000000000002,0.6428571428571428,0.9025172702761631,0,0,1,0.8571428571428572
1564,0.37291200297010696,0.21676104874853186,0.2615453065577631,0.15000000000000002,0.8214285714285713,0.3882976552584404,1,0,1,0.2857142857142857
1565,0.3138672203691535,0.3273140231639642,0.40635138982437047,0.15000000000000002,0.6428571428571428,0.3882976552584404,1,1,0,1.0
1566,0.38021124171160614,0.25800183476499194,0.4251753103317588,0.25,0.4285714285714285,0.6792566110800579,1,0,1,0.42857142857142855
1567,0.2648178230095366,0.18496389803771995,0.38710442465245043,0.050000000000000044,0.8928571428571427,0.22996600290867986,1,0,1,0.0
1568,0.6020599913279623,0.5679363280426666,0.7599342871035843,0.25,0.5714285714285714,0.6792566110800579,1,1,1,1.0
1569,0.2833012287035497,0.21676104874853186,0.2615453065577631,0.15000000000000002,0.6785714285714285,0.9025172702761631,1,0,1,0.14285714285714285
1570,0.4471580313422192,0.2478097165253348,0.36741496197343526,0.10000000000000003,0.3571428571428571,0.6792566110800579,0,0,1,0.0
1571,0.46239799789895586,0.3176193973832522,0.4965878149904208,0.2,0.4285714285714285,0.5169953326656691,1,1,0,0.2857142857142857
1572,0.36172783601759284,0.14130399362021695,0.28379211334629373,0.0,0.10714285714285712,0.9025172702761631,1,1,1,1.0
1573,0.6170003411208989,0.821592665258472,0.8663895520504008,0.8,0.8928571428571427,0.3882976552584404,1,0,1,0.0
1574,0.36172783601759284,0.2375400883338561,0.28379211334629373,0.15000000000000002,0.7142857142857142,0.6792566110800579,0,0,1,0.5714285714285714
1575,0.37291200297010696,0.37483326395486327,0.40635138982437047,0.4,0.8928571428571427,0.6792566110800579,1,0,1,0.0
1576,0.2304489213782741,0.13014743834355036,0.2615453065577631,0.050000000000000044,0.5357142857142857,0.3882976552584404,0,1,0,0.2857142857142857
1577,0.505149978319906,0.3841548709741447,0.5782165907588217,0.15000000000000002,0.3571428571428571,0.9025172702761631,1,1,1,0.0
1578,0.4116197059632303,0.3841548709741447,0.4251753103317588,0.25,0.6428571428571428,0.6792566110800579,0,0,1,0.8571428571428572
1579,0.33041377334919075,0.3078581395194735,0.36741496197343526,0.25,0.7142857142857142,0.3882976552584404,0,0,0,0.5714285714285714
1580,0.27875360095282886,0.25800183476499194,0.40635138982437047,0.25,0.6428571428571428,0.6792566110800579,0,0,1,1.0
1581,0.3344537511509309,0.37483326395486327,0.44359438379500693,0.15000000000000002,0.8214285714285713,0.22996600290867986,0,0,0,0.14285714285714285
1582,0.22530928172586284,0.20624783068189756,0.38710442465245043,0.10000000000000003,0.8214285714285713,0.6792566110800579,0,0,1,0.2857142857142857
1583,0.16435285578443715,0.35601134822329095,0.40635138982437047,0.25,0.14285714285714282,0.5169953326656691,1,0,1,0.42857142857142855
1584,0.505149978319906,0.2681181720201693,0.30547564888405,0.2,0.4285714285714285,0.6792566110800579,1,1,1,0.42857142857142855
1585,0.5797835966168103,0.6565569956118702,0.5782165907588217,0.55,0.2857142857142857,0.6792566110800579,1,0,1,0.5714285714285714
1586,0.46239799789895586,0.4299126676635905,0.5301785479639483,0.30000000000000004,0.8214285714285713,0.3882976552584404,0,0,1,0.2857142857142857
1587,0.287801729930226,0.34650871846821985,0.38710442465245043,0.25,0.6428571428571428,0.6792566110800579,1,0,0,0.5714285714285714
1588,0.4593924877592308,0.5175559629891884,0.6808207962735611,0.30000000000000004,0.4999999999999999,0.6792566110800579,1,0,1,0.7142857142857142
1589,0.3424226808222064,0.35601134822329095,0.4251753103317588,0.15000000000000002,0.6428571428571428,0.7740714077973826,0,0,0,0.8571428571428572
1590,0.45331834004703775,0.36545247034522976,0.4251753103317588,0.2,0.5357142857142857,0.6792566110800579,1,1,1,0.8571428571428572
1591,0.3909351071033791,0.16332217705160867,0.30547564888405,0.10000000000000003,0.7499999999999999,0.3882976552584404,0,1,1,0.0
1592,0.27875360095282886,0.18496389803771995,0.36741496197343526,0.050000000000000044,0.4285714285714285,0.3882976552584404,0,0,1,0.42857142857142855
1593,0.32633586092875144,0.3078581395194735,0.5301785479639483,0.2,0.6071428571428571,0.5169953326656691,0,1,1,0.7142857142857142
